Proizvod;Mesec_pruzanja_usluge;Jedinicna_cena;Broj_transakcija;Fakturisan_iznos;Fakturisan_korigovan_iznos;Naplacen_iznos;Kumulativ_naplacenih_iznosa;Nenaplacen_iznos;Nenaplacen_korigovan_iznos;Storniran_iznos_u_tekucem_mesecu_iz_perioda_pracenja;Otkazan_iznos;Kumulativ_otkazanih_iznosa;Iznos_za_prenos_sredstava_;Provajder
S___1554MOV                             ;2025-01-01;150;138;20700;20700;13800;13800;6900;6900;0;0;0;16560;NTHMedia_S
S___1554Puta                            ;2025-01-01;150;4;600;600;600;600;0;0;0;0;0;720;NTHMedia_S
S___1554RRR                             ;2025-01-01;150;645;96750;96750;83850;83850;12900;12900;0;0;0;100620;NTHMedia_S
S___1554Selfi                           ;2025-01-01;150;4;600;600;600;600;0;0;0;0;0;720;NTHMedia_S
S___1554Sise                            ;2025-01-01;150;8;1200;1200;600;600;600;600;0;0;0;720;NTHMedia_S
S___1554Top                             ;2025-01-01;150;5;750;750;750;750;0;0;0;0;0;900;NTHMedia_S
S___1554TUBE                            ;2025-01-01;150;6191;928650;928650;665100;665100;263550;263550;0;0;0;798120;NTHMedia_S
S___1554UGZ                             ;2025-01-01;300;9;2700;2700;2700;2700;0;0;0;0;0;3240;NTHMedia_S
S___1554VID                             ;2025-01-01;300;18;5400;5400;4200;4200;1200;1200;0;0;0;5040;NTHMedia_S
S___1554Vruca                           ;2025-01-01;150;2;300;300;300;300;0;0;0;0;0;360;NTHMedia_S
S___1554XPORN                           ;2025-01-01;150;8;1200;1200;1200;1200;0;0;0;0;0;1440;NTHMedia_S
S___1556CRZ                             ;2025-01-01;150;42;6300;6300;2700;2700;3600;3600;0;0;0;3240;NTHMedia_S
S___1556PLAY                            ;2025-01-01;300;35;10500;10500;8100;8100;2400;2400;0;0;0;9720;NTHMedia_S
S___1556RAPID                           ;2025-01-01;150;2497;374550;374550;260400;260400;114150;114150;0;0;0;312480;NTHMedia_S
S___1556TOP                             ;2025-01-01;300;4;1200;1200;0;0;1200;1200;0;0;0;0;NTHMedia_S
S___1617NTHDomace                       ;2025-01-01;150;178;26700;26700;19350;19350;7350;7350;0;0;0;23220;NTHMedia_S
S___2229BusWapLand                      ;2025-01-01;80;5;400;400;400;400;0;0;0;0;0;480;NTHMedia_S
S___2229DnevniHoroskop                  ;2025-01-01;15;22;330;330;330;330;0;0;0;0;0;396;NTHMedia_S
S___2229TXTMania                        ;2025-01-01;15;890;13350;13350;11370;11370;1980;1980;0;0;0;13644;NTHMedia_S
S___2229WapLandClub                     ;2025-01-01;90;169;15210;15210;12780;12780;2430;2430;0;0;0;15336;NTHMedia_S
S___2229WapLandClub18                   ;2025-01-01;50;5;250;250;250;250;0;0;0;0;0;300;NTHMedia_S
S___2229WapLandClub19                   ;2025-01-01;75;5;375;375;375;375;0;0;0;0;0;450;NTHMedia_S
S___2229WapLandKids11                   ;2025-01-01;90;84;7560;7560;4950;4950;2610;2610;0;0;0;5940;NTHMedia_S
S___2229WapLandKids27                   ;2025-01-01;150;19;2850;2850;2850;2850;0;0;0;0;0;3420;NTHMedia_S
S___2232DESIRE                          ;2025-01-01;150;342;51300;51300;42750;42750;8550;8550;0;0;0;51300;NTHMedia_S
S___2232FTV                             ;2025-01-01;150;96;14400;14400;11250;11250;3150;3150;0;0;0;13500;NTHMedia_S
S___2345sedmica                         ;2025-01-01;35;4;140;140;0;0;140;140;0;0;0;0;NTHMedia_S
S___2778Erov2                           ;2025-01-01;300;34;10200;10200;5700;5700;4500;4500;0;0;0;6840;NTHMedia_S
S___2778Erov3                           ;2025-01-01;500;5;2500;2500;2000;2000;500;500;0;0;0;2400;NTHMedia_S
S___3334GEN                             ;2025-01-01;150;3907;586050;586050;403950;403950;182100;182100;0;0;0;484740;NTHMedia_S
S___4011BRAIN                           ;2025-01-01;150;4854;728100;728100;541500;541500;186600;186600;0;0;0;649800;NTHMedia_S
S___4011MEMO                            ;2025-01-01;150;9;1350;1350;0;0;1350;1350;0;0;0;0;NTHMedia_S
S___4014HID                             ;2025-01-01;300;32;9600;9600;6600;6600;3000;3000;0;0;0;7920;NTHMedia_S
S___4016OCISTI                          ;2025-01-01;300;78;23400;23400;14700;14700;8700;8700;0;0;0;17640;NTHMedia_S
S___4025FB                              ;2025-01-01;150;277;41550;41550;32100;32100;9450;9450;0;0;0;38520;NTHMedia_S
S___4025TH                              ;2025-01-01;300;113;33900;33900;29400;29400;4500;4500;0;0;0;35280;NTHMedia_S
S___4091MS                              ;2025-01-01;300;12054;3616200;3616200;2804700;2804700;811500;811500;0;0;0;3365640;NTHMedia_S
S___4092ASTRO                           ;2025-01-01;300;93;27900;27900;21000;21000;6900;6900;0;0;0;25200;NTHMedia_S
