parkingServiceId,serviceId,group,serviceName,price,date,quantity,amount
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,23.05.2025,1.0,33.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,24.05.2025,2.0,66.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,26.05.2025,11.0,366.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,27.05.2025,6.0,200.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,28.05.2025,3.0,100.0
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,29.05.2025,8.0,266.67
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,30.05.2025,4.0,133.33
44737ae5-a514-4ab3-bdda-b529af31585b,1d0652d2-46b6-4e64-8fa6-05cdfa26b4f2,prepaid,S_8141__8141_Osecina_PlavaZona,40.0,31.05.2025,2.0,66.67
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,01.05.2025,1.0,32.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,02.05.2025,8.0,260.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,03.05.2025,18.0,585.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,05.05.2025,42.0,1365.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,06.05.2025,43.0,1397.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,07.05.2025,32.0,1040.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,08.05.2025,46.0,1495.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,09.05.2025,47.0,1527.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,10.05.2025,25.0,812.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,12.05.2025,41.0,1332.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,13.05.2025,29.0,942.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,14.05.2025,50.0,1625.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,15.05.2025,34.0,1105.0
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,16.05.2025,51.0,1657.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,17.05.2025,29.0,942.5
96ea5219-8390-4bea-ac57-864c0841741d,d0845f57-98bf-43fe-a375-3e07f83c5c78,prepaid,S_9131__9131PancevoCrvenaZona,39.0,19.05.2025,37.0,1202.5
