provider_name,agreement_name,service_name,step_name,sender_name,requests,message_parts
"Akton_Bulk","BulkOnDemand","SrnAlgBO","PureMT","GRAWE","1495","1497"
"Fonlider","OneClickSubscriprionBulk","OneClickSMSBulk","Isporuka","SLOBODNA","1489","1493"
"Akton_Bulk","BulkSubscriptionStarion","Stari_grad","Delivery","Stari_grad","495","1485"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR2","Delivery","HOMA","1468","1468"
"NTHMedia","NTHBulkFull","beobasta_rs_NTHSp","PureMT","beobasta.rs","1468","1468"
"Akton_Bulk","BulkSubscriptionStarion","SrnAirSerbia","Delivery","JUNOC","1240","1467"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Toyota","733","1460"
"NTHMedia","NTHBulkFull","S1599GLOOK","PureMT","GLOOK","1458","1458"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","API-Bank","1456","1456"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","CocaColaHBC","1443","1443"
"NTHMedia","NthBulkOnDemand","N_1599NTH_Alarm","MT","NTH_Alarm","1193","1422"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","SkynetKTV","699","1421"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","AutoTrack","1394","1394"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","SPORTONE","1389","1389"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR","Delivery","MEF","1370","1370"
"NTHMedia","NTHBulkFull","S1599MeridianBet","PureMT","MeridianBet","1361","1361"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","NBS","952","1353"
"mtssi","BulkOnDemand","PURITY_AKAD","PureMT","PURITY_AKAD","681","1349"
"ComTradeITSS","ComTradeITSSBulkOnDemand","MT_SpecialCharSender","Pure_MT","Dunav.","1302","1302"
"NTHMedia","NthBulkOnDemand","N1599NS_GAS_NthSpecK","MT","NS-GAS","1281","1281"
"Akton_Bulk","BulkSubscriptionStarion","SrnKettyShoes","Delivery","KettyShoes","1280","1280"
"Fonlider","OneClickSubscriprionBulk","OneClickSMSBulk","Isporuka","ASTROUSLUGE","667","1264"
"Akton_Bulk","OTT_SocNet_Starion","SrnAktonOTT","Isporuka","1xbet.rs","1233","1233"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","MuzejKV","923","1231"
"ComTradeITSS","ComTradeITSSBulkOnDemand","MT_SpecialCharSender","Pure_MT","Sicarpet.","1225","1225"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","MediGroup","1223","1223"
"Akton_Bulk","BulkSubscriptionStarion","SrnPolycomBulk","Delivery","JungleTribe","769","1223"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","6292","1218","1218"
"Infobip","InfobipBulkSubscription","IDEAonline","MtSms","IDEAonline","602","1204"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","Novakovisar","1176","1176"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","GiftonCard","1166","1166"
"Infobip","InfobipBulkSubscription","GBI","Delivery","Knjaz_Milos","1074","1149"
"CePP","CeppBulkOnDemand","CeppBulkBanke","BulkBanke","WobyHaus","772","1139"
"CePP","CeppBulkOnDemand","CePP_InfoStanjeSender","Isporuka","Gstambeno","1128","1129"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","PinnBetInfo","1062","1080"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr2","Delivery","Enso","1076","1076"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","ECD","1074","1074"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","AdriaticBnK","1002","1060"
"NTHMedia","NTHBulkFull","S1599Plus_CC_Spe","PureMT","Plus_CC","1048","1048"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR2","Delivery","Jasmil","521","1042"
"CePP","CeppBulkOnDemand","CePP_InfoStanjeSender","Isporuka","CleanAir","539","1040"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR2","Delivery","NextFiber","923","1025"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr","Delivery","UPOR","987","987"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","HopHopInfo","489","972"
"NTHMedia","NthBulkOnDemand","N_1599Galeb","Isporuka","Galeb","884","938"
"Akton_Bulk","BulkSubscriptionStarion","SrnPolycomBulk","Delivery","GRAD_UZICE","521","930"
"NTHMedia","NTHBulkFull","S1599NepoSystem","PureMT","NepoSystem","641","920"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","RomaCompany","918","918"
"Akton_Bulk","BulkSubscriptionStarion","SportNFashion","Delivery","SnF","893","893"
"NTHMedia","NthBulkOnDemand","N1599FastKurirRS","MT","FastKurirRS","784","893"
"NTHMedia","NthBulkOnDemand","N_1599MEADENT","MT","MEADENT","881","882"
"NTHMedia","NthBulkOnDemand","N_1599MEXC","MT","MEXC","880","880"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR2","Delivery","KOMUNA","874","874"
"NTHMedia","NTHBulkFull","S1599_4zida","PureMT","4zida","817","873"
"Akton_Bulk","BulkSubscriptionStarion","Srn3639Astro","Delivery","3639.Astro","869","869"
"Infobip","Infobip_OTT_SocNet","OTT_SocNet_Infobip","Isporuka","BOC Message","679","856"
"NTHMedia","NthBulkOnDemand","N_1599Alfa_Enter_NthSpecK","MT","Alfa_Enter","428","856"
"NTHMedia","NTHBulkFull","S1599ZaoMakeUp","PureMT","ZaoMakeUp","852","852"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","HappyKidsPU","235","821"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","OrionTV","814","814"
"Akton_Bulk","BulkSubscriptionStarion","SrnBulkSaDr2","Delivery","LYCTUM","814","814"
"Infobip","InfobipBulkSubscription","AutoTehnika","MtSms","AutoTehnika","435","802"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","CROPP","400","799"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","eZakazi","725","785"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","IPSOS","773","784"
"NTHMedia","NTHBulkFull","S1599ReaMedika","PureMT","ReaMedika","779","779"
"Infobip","InfobipBulkAnketa","3138TeleSign_Anketa","Anketa","3138","412","776"
"Fonlider","OneClickSubscriprionBulk","OneClickSMSBulk","Isporuka","CHAT","703","774"
"Akton_Bulk","BulkSubscriptionStarion","SrnPolycomBulk","Delivery","Am_club_24h","689","773"
"NTHMedia","NTHBulkFull","S1599Zepter","PureMT","Zepter","182","758"
"Akton_Bulk","BulkSubscriptionStarion","SrnMaestroBulkDr","Delivery","MAESTRO","375","750"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Daibau","744","744"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","Visage","186","744"
"Infobip","InfobipBulkOnDemand","Banking_Infobip","1NonSmsCRDrB","Vigoshop","727","727"
"NTHMedia","NTHBulkFull","S1599GEAAgronet","PureMT","GEAAgronet","723","723"
"Akton_Bulk","BulkSubscriptionStarion","GRANDSLOT","Delivery","GRANDSLOT","357","714"
"Akton_Bulk","BulkOnDemand","SrnAssecoBO","pureMT","POSTED","704","704"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","Lindex.","701","701"
"Infobip","Infobip_OTT_SocNet","OTT_SocNet_Infobip","Isporuka","HONOR","701","701"
"Infobip","InfobipBulkSubscription","TaxiServis","Delivery","Ladjar","672","672"
"NTHMedia","NTHBulkFull","S1599Comma","PureMT","Comma","661","661"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULKNoDL","Pure_MT","ODMC-SBB","656","656"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","MOHITO","651","651"
"NTHMedia","NTHBulkFull","S1599RIZKRS_NTHSpecCh","PureMT","RIZK.RS","431","630"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","HOUSE","350","625"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","Zlatiborac","605","605"
"CePP","CePPBulkSubsciption","CePPSmsBulkDr","Delivery","CleanAir","451","601"
"NTHMedia","NTHBulkFull","S1599LesninaXXXL","PureMT","LesninaXXXL","600","600"
"ComTradeITSS","ComTradeITSSBulkSubsciption","Bulk5005DR2","Delivery","VasMELEM","597","597"
"NTHMedia","NTHBulkFull","S1599Gente","PureMT","Gente","298","595"
"ComTradeITSS","ComTradeITSSBulkOnDemand","BULK5005NoDL","1NonSmsCRDrB","STANKOVinfo","441","568"
"Akton_Bulk","BulkOnDemand","SRNBULKZAODJAVU","PURE_MT","BASF","567","567"
